time,xy
2019/3/1 7:51,"[9,7,1],[9,8,2],[9,9,2],[9,10,2],[9,11,3],[9,12,1],[10,12,2],[9,13,1],[10,13,2],[9,14,1],[10,14,4],[11,14,5],"
2019/3/1 7:52,"[11,14,1],"
2019/3/1 7:53,"[11,14,1],"
2019/3/1 7:54,"[9,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[9,12,1],[9,13,1],[9,14,1],[10,14,1],"
2019/3/1 7:55,"[10,6,1],[10,7,1],"
2019/3/1 7:56,"[0,0,0]"
2019/3/1 7:57,"[0,0,0]"
2019/3/1 7:58,"[0,0,0]"
2019/3/1 7:59,"[0,0,0]"
2019/3/1 8:00,"[0,0,0]"
2019/3/1 8:01,"[0,0,0]"
2019/3/1 8:02,"[0,0,0]"
2019/3/1 8:03,"[0,0,0]"
2019/3/1 8:04,"[9,11,1],[9,12,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 8:05,"[9,7,1],[10,7,1],[11,7,1],[9,8,1],[9,9,1],[9,10,1],[9,13,1],[10,14,2],[11,14,3],"
2019/3/1 8:06,"[9,5,1],[9,6,1],[8,7,1],[9,7,1],[8,8,2],[9,8,1],[8,9,2],[9,9,1],[7,10,1],[8,10,2],[9,10,1],[8,11,1],[9,11,2],[7,12,1],[9,12,3],[10,12,3],[8,13,1],[10,13,3],[9,14,1],[10,14,3],[11,14,3],"
2019/3/1 8:07,"[9,2,1],[9,3,1],[6,4,1],[8,4,1],[9,4,2],[10,4,1],[6,5,1],[8,5,1],[9,5,1],[7,6,1],[8,6,1],[9,6,1],[8,7,1],[9,7,1],[9,8,2],[9,9,2],[9,10,2],[7,11,1],[9,11,4],[9,12,3],[9,13,3],[10,13,1],[10,14,3],[11,14,2],"
2019/3/1 8:08,"[9,4,2],[10,4,1],[11,4,1],[8,5,1],[9,5,3],[10,5,1],[11,5,1],[8,6,1],[9,6,2],[9,7,3],[9,8,2],[9,9,3],[9,10,4],[9,11,3],[9,12,3],[10,12,1],[9,13,3],[10,13,1],[11,13,1],[10,14,6],[11,14,6],"
2019/3/1 8:09,"[9,4,2],[10,4,2],[9,5,4],[10,5,1],[9,6,4],[10,6,1],[9,7,5],[10,7,1],[8,8,1],[9,8,4],[9,9,5],[9,10,4],[9,11,4],[9,12,4],[9,13,1],[10,13,2],[10,14,2],[11,14,4],"
2019/3/1 8:10,"[9,3,1],[9,4,2],[10,4,1],[11,4,1],[9,5,3],[10,5,1],[9,6,3],[9,7,3],[9,8,3],[9,9,2],[7,10,1],[8,10,1],[9,10,2],[8,11,1],[9,11,3],[6,12,1],[9,12,2],[10,12,2],[7,13,1],[8,13,1],[9,13,3],[10,13,3],[9,14,1],[10,14,8],[11,14,8],"
2019/3/1 8:11,"[7,2,1],[7,3,1],[6,4,1],[7,4,1],[9,4,2],[10,4,1],[7,5,2],[9,5,2],[7,6,2],[9,6,2],[11,6,1],[6,7,1],[7,7,1],[8,7,1],[9,7,3],[10,7,1],[6,8,1],[7,8,1],[8,8,2],[9,8,6],[6,9,1],[7,9,1],[8,9,1],[9,9,5],[6,10,1],[8,10,2],[9,10,6],[7,11,1],[8,11,2],[9,11,7],[7,12,1],[8,12,1],[9,12,6],[10,12,2],[8,13,1],[9,13,3],[10,13,4],[9,14,3],[10,14,7],[11,14,5],"
2019/3/1 8:12,"[9,4,2],[10,4,1],[11,4,1],[6,5,1],[7,5,1],[9,5,4],[10,5,1],[11,5,1],[6,6,1],[7,6,1],[9,6,5],[11,6,1],[7,7,1],[9,7,6],[10,7,1],[7,8,1],[9,8,4],[7,9,1],[9,9,5],[9,10,5],[9,11,5],[9,12,3],[10,12,3],[9,13,1],[10,13,4],[10,14,4],[11,14,4],"
2019/3/1 8:13,"[9,2,1],[9,3,1],[9,4,2],[9,5,3],[10,5,2],[11,5,1],[9,6,2],[9,7,2],[9,8,2],[9,9,3],[9,10,3],[8,11,1],[9,11,5],[8,12,1],[9,12,6],[10,12,2],[9,13,3],[10,13,6],[9,14,2],[10,14,10],[11,14,11],"
2019/3/1 8:14,"[6,4,1],[9,4,1],[10,4,2],[6,5,1],[9,5,4],[10,5,2],[6,6,1],[7,6,1],[9,6,4],[6,7,1],[7,7,1],[9,7,4],[6,8,2],[7,8,1],[9,8,4],[6,9,2],[7,9,1],[8,9,1],[9,9,3],[6,10,1],[7,10,3],[8,10,1],[9,10,3],[7,11,1],[8,11,2],[9,11,4],[7,12,1],[8,12,2],[9,12,2],[10,12,2],[8,13,1],[9,13,2],[10,13,1],[10,14,3],[11,14,4],"
2019/3/1 8:15,"[6,3,1],[9,4,2],[10,4,1],[11,4,1],[9,5,3],[10,5,1],[9,6,3],[9,7,6],[10,7,2],[8,8,1],[9,8,5],[6,9,1],[7,9,1],[9,9,4],[8,10,1],[9,10,2],[9,11,3],[9,12,2],[10,12,3],[9,13,3],[10,13,6],[10,14,9],[11,14,12],"
2019/3/1 8:16,"[9,4,2],[10,4,1],[9,5,5],[10,5,1],[6,6,1],[9,6,5],[7,7,1],[9,7,5],[7,8,1],[8,8,1],[9,8,5],[7,9,1],[8,9,1],[9,9,8],[7,10,2],[8,10,3],[9,10,8],[6,11,1],[8,11,4],[9,11,8],[7,12,1],[8,12,1],[9,12,8],[10,12,4],[11,12,1],[8,13,1],[9,13,4],[10,13,6],[11,13,1],[9,14,1],[10,14,11],[11,14,7],"
2019/3/1 8:17,"[9,4,1],[10,4,1],[11,4,1],[8,5,1],[9,5,6],[10,5,5],[11,5,2],[8,6,1],[9,6,5],[11,6,1],[6,7,1],[8,7,2],[9,7,3],[10,7,1],[7,8,1],[8,8,1],[9,8,3],[6,9,1],[7,9,1],[8,9,1],[9,9,2],[6,10,1],[8,10,2],[9,10,2],[7,11,1],[8,11,2],[9,11,2],[7,12,1],[8,12,2],[9,12,2],[9,13,6],[10,13,2],[10,14,8],[11,14,10],"
2019/3/1 8:18,"[8,3,1],[8,4,1],[9,4,2],[10,4,2],[11,4,1],[7,5,2],[9,5,4],[7,6,2],[9,6,5],[7,7,2],[9,7,6],[7,8,1],[8,8,2],[9,8,7],[7,9,1],[8,9,1],[9,9,9],[7,10,1],[8,10,2],[9,10,9],[7,11,1],[8,11,1],[9,11,12],[7,12,1],[9,12,8],[10,12,6],[8,13,3],[9,13,7],[10,13,6],[8,14,1],[9,14,2],[10,14,12],[11,14,9],"
2019/3/1 8:19,"[7,2,1],[6,4,1],[7,4,3],[9,4,4],[10,4,3],[7,5,2],[8,5,1],[9,5,9],[10,5,4],[11,5,3],[6,6,2],[7,6,1],[8,6,1],[9,6,8],[6,7,1],[7,7,3],[9,7,7],[6,8,1],[7,8,2],[8,8,2],[9,8,5],[6,9,1],[7,9,2],[8,9,3],[9,9,5],[6,10,2],[7,10,2],[8,10,3],[9,10,4],[6,11,1],[8,11,4],[9,11,1],[7,12,2],[8,12,4],[9,12,2],[8,13,1],[9,13,3],[10,13,2],[10,14,5],[11,14,7],"
2019/3/1 8:20,"[6,2,1],[6,3,2],[9,3,1],[6,4,2],[7,4,1],[8,4,1],[9,4,3],[10,4,3],[11,4,1],[6,5,1],[7,5,1],[8,5,1],[9,5,2],[10,5,1],[7,6,1],[8,6,1],[9,6,2],[6,7,1],[8,7,1],[9,7,9],[10,7,4],[6,8,1],[8,8,1],[9,8,9],[6,9,1],[9,9,8],[8,10,1],[9,10,8],[8,11,2],[9,11,7],[7,12,2],[8,12,3],[9,12,6],[10,12,4],[8,13,1],[9,13,6],[10,13,6],[9,14,1],[10,14,12],[11,14,12],"
2019/3/1 8:21,"[9,4,4],[10,4,2],[11,4,1],[9,5,10],[10,5,4],[11,5,1],[7,6,1],[9,6,9],[10,6,1],[7,7,1],[9,7,11],[10,7,2],[6,8,1],[7,8,3],[8,8,2],[9,8,8],[6,9,1],[7,9,3],[8,9,1],[9,9,10],[6,10,1],[7,10,2],[8,10,2],[9,10,9],[7,11,2],[8,11,3],[9,11,12],[9,12,10],[10,12,3],[9,13,4],[10,13,8],[10,14,12],[11,14,9],"
2019/3/1 8:22,"[9,4,1],[10,4,2],[11,4,1],[9,5,5],[10,5,3],[11,5,1],[9,6,7],[9,7,7],[8,8,2],[9,8,7],[9,9,8],[8,10,1],[9,10,8],[9,11,8],[9,12,7],[10,12,4],[9,13,4],[10,13,7],[9,14,1],[10,14,9],[11,14,11],"
2019/3/1 8:23,"[9,4,2],[10,4,1],[11,4,1],[9,5,7],[10,5,4],[11,5,3],[9,6,7],[9,7,6],[8,8,1],[9,8,6],[8,9,1],[9,9,6],[8,10,2],[9,10,7],[8,11,3],[9,11,5],[9,12,3],[10,12,2],[9,13,6],[10,13,2],[7,14,1],[8,14,1],[9,14,3],[10,14,9],[11,14,9],"
2019/3/1 8:24,"[6,3,1],[6,4,1],[9,4,1],[10,4,1],[6,5,1],[9,5,4],[10,5,2],[11,5,1],[6,6,1],[8,6,1],[9,6,2],[11,6,1],[7,7,1],[8,7,1],[9,7,5],[10,7,2],[8,8,2],[9,8,5],[8,9,2],[9,9,4],[8,10,1],[9,10,5],[8,11,2],[9,11,6],[8,12,2],[9,12,8],[10,12,1],[9,13,6],[10,13,7],[10,14,12],[11,14,14],"
2019/3/1 8:25,"[9,2,1],[8,3,1],[9,4,2],[10,4,1],[8,5,1],[9,5,4],[10,5,3],[8,6,2],[9,6,3],[11,6,1],[7,7,1],[8,7,2],[9,7,8],[10,7,2],[7,8,1],[8,8,4],[9,8,7],[8,9,4],[9,9,7],[8,10,2],[9,10,7],[9,11,7],[6,12,1],[7,12,1],[9,12,2],[10,12,7],[7,13,1],[8,13,2],[9,13,1],[10,13,6],[11,13,1],[10,14,8],[11,14,5],"
2019/3/1 8:26,"[7,3,1],[7,4,1],[9,4,1],[10,4,1],[8,5,1],[9,5,6],[10,5,3],[8,6,1],[9,6,7],[8,7,1],[9,7,7],[8,8,1],[9,8,5],[8,9,2],[9,9,6],[8,10,1],[9,10,9],[9,11,9],[8,12,1],[9,12,4],[10,12,4],[9,13,3],[10,13,5],[10,14,9],[11,14,11],"
2019/3/1 8:27,"[7,2,1],[8,3,1],[8,4,1],[9,4,1],[10,4,1],[11,4,1],[8,5,2],[9,5,2],[10,5,2],[11,5,1],[8,6,1],[9,6,3],[8,7,1],[9,7,4],[7,8,1],[9,8,4],[8,9,1],[9,9,4],[6,10,1],[8,10,2],[9,10,6],[7,11,2],[8,11,1],[9,11,7],[7,12,1],[8,12,2],[9,12,6],[10,12,3],[9,13,6],[10,13,6],[10,14,10],[11,14,9],"
2019/3/1 8:28,"[8,3,1],[8,4,1],[9,4,2],[11,4,1],[8,5,1],[9,5,4],[10,5,2],[8,6,1],[9,6,4],[7,7,1],[8,7,1],[9,7,3],[7,8,1],[8,8,1],[9,8,3],[7,9,1],[8,9,3],[9,9,2],[7,10,1],[8,10,2],[9,10,1],[8,11,1],[9,11,4],[9,12,1],[10,12,4],[9,13,3],[10,13,3],[9,14,1],[10,14,7],[11,14,6],"
2019/3/1 8:29,"[8,2,1],[6,3,1],[7,3,2],[8,3,2],[9,3,3],[6,4,2],[7,4,6],[8,4,4],[9,4,6],[10,4,1],[11,4,1],[6,5,4],[7,5,4],[8,5,5],[9,5,6],[11,5,1],[6,6,3],[7,6,5],[8,6,5],[9,6,7],[6,7,2],[7,7,3],[8,7,6],[9,7,6],[6,8,2],[7,8,3],[8,8,2],[9,8,11],[6,9,3],[7,9,6],[8,9,1],[9,9,9],[6,10,2],[7,10,4],[8,10,3],[9,10,10],[6,11,1],[7,11,3],[8,11,8],[9,11,9],[7,12,3],[8,12,6],[9,12,9],[10,12,6],[7,13,1],[8,13,3],[9,13,10],[10,13,9],[7,14,1],[8,14,3],[9,14,5],[10,14,18],[11,14,16],"
2019/3/1 8:30,"[7,3,1],[7,4,1],[9,4,1],[10,4,1],[7,5,2],[8,5,1],[9,5,5],[10,5,3],[11,5,2],[7,6,2],[8,6,8],[9,6,6],[7,7,3],[8,7,6],[9,7,14],[10,7,3],[7,8,3],[8,8,5],[9,8,20],[7,9,5],[8,9,5],[9,9,25],[7,10,9],[8,10,5],[9,10,32],[7,11,2],[8,11,10],[9,11,37],[7,12,1],[8,12,9],[9,12,15],[10,12,23],[7,13,1],[8,13,3],[9,13,15],[10,13,29],[11,13,1],[9,14,6],[10,14,45],[11,14,36],"
2019/3/1 8:31,"[6,2,1],[8,2,1],[6,3,1],[8,3,1],[8,4,2],[9,4,3],[10,4,3],[8,5,2],[9,5,8],[10,5,1],[8,6,3],[9,6,6],[8,7,2],[9,7,6],[8,8,1],[9,8,6],[8,9,1],[9,9,6],[8,10,1],[9,10,3],[9,11,5],[6,12,1],[7,12,1],[8,12,2],[9,12,4],[10,12,8],[9,13,2],[10,13,14],[11,13,1],[9,14,1],[10,14,22],[11,14,33],"
2019/3/1 8:32,"[9,2,1],[8,3,1],[6,4,1],[9,4,2],[10,4,1],[6,5,1],[9,5,2],[10,5,1],[7,6,1],[9,6,2],[7,7,1],[9,7,2],[8,8,1],[9,8,3],[9,9,5],[9,10,6],[9,11,5],[7,12,1],[8,12,1],[9,12,1],[10,12,3],[9,13,1],[10,13,3],[10,14,5],[11,14,4],"
2019/3/1 8:33,"[9,4,1],[9,5,2],[9,6,2],[9,7,3],[9,8,3],[8,9,1],[9,9,2],[9,10,3],[9,11,4],[9,12,3],[10,12,1],[9,13,1],[10,13,2],[11,13,1],[10,14,4],[11,14,4],"
2019/3/1 8:34,"[10,12,1],[10,13,2],[10,14,2],[11,14,4],"
2019/3/1 8:36,"[10,5,1],[9,10,1],[9,11,1],[9,12,1],[9,13,1],[10,14,1],[11,14,1],"
2019/3/1 8:37,"[9,5,2],[10,5,1],[11,5,1],[6,6,1],[9,6,2],[6,7,1],[9,7,2],[7,8,1],[9,8,2],[7,9,1],[9,9,2],[7,10,1],[9,10,1],[8,11,1],[9,11,1],[8,12,1],[10,12,1],[10,13,1],"
2019/3/1 8:38,"[9,5,1],[10,5,1],[8,6,1],[8,7,1],[8,8,1],[9,8,1],[9,9,2],[9,12,1],[10,13,1],[10,14,2],[11,14,2],"
2019/3/1 8:39,"[9,10,2],[9,11,4],[9,12,2],[10,12,3],[9,13,2],[10,13,3],[10,14,5],[11,14,6],"
2019/3/1 8:40,"[9,4,2],[10,4,1],[9,5,3],[10,5,1],[8,6,1],[9,6,2],[9,7,5],[10,7,2],[11,7,1],[9,8,4],[8,9,1],[9,9,3],[9,10,4],[9,11,2],[9,12,2],[7,13,1],[8,13,1],[9,13,3],[10,13,1],[10,14,4],[11,14,3],"
2019/3/1 8:41,"[10,4,1],[11,4,2],[8,6,1],[8,7,1],[9,7,1],[8,8,3],[9,8,1],[7,9,1],[8,9,1],[1,10,1],[2,10,1],[3,10,1],[4,10,1],[5,10,1],[6,10,1],[7,10,1],[8,11,2],[9,11,1],[9,12,2],[9,13,1],[9,14,1],[10,14,2],[11,14,2],"
2019/3/1 8:42,"[9,4,1],[10,4,1],[11,4,1],[9,5,1],[9,6,1],[7,7,1],[9,7,1],[7,8,1],[9,8,1],[7,9,1],[8,9,1],[9,9,1],[6,10,1],[7,10,1],[8,10,1],[9,10,1],[1,11,1],[2,11,1],[3,11,1],[4,11,1],[5,11,1],[6,11,1],[8,11,1],[9,11,1],[9,12,1],[10,13,1],"
2019/3/1 8:43,"[6,4,1],[6,5,1],[9,5,1],[6,6,1],[9,6,1],[9,7,1],[9,8,1],[9,9,1],[9,10,1],[9,13,1],[10,14,1],[11,14,2],"
2019/3/1 8:44,"[9,4,2],[10,4,2],[9,5,3],[8,6,2],[9,6,1],[8,7,1],[9,7,2],[9,8,2],[9,9,3],[8,10,1],[9,10,3],[9,11,4],[9,12,3],[10,12,2],[9,13,2],[10,13,1],[9,14,1],[10,14,3],[11,14,2],"
2019/3/1 8:45,"[9,4,2],[10,4,2],[11,4,1],[7,5,1],[9,5,2],[10,5,1],[8,6,1],[9,6,1],[7,7,1],[9,7,1],[7,8,1],[9,8,2],[7,9,1],[9,9,1],[9,10,1],[9,11,2],[9,12,1],[10,12,1],[7,13,1],[9,13,1],[10,13,2],[8,14,1],[9,14,1],[10,14,5],[11,14,6],"
2019/3/1 8:46,"[9,5,1],[9,6,2],[7,7,1],[9,7,2],[9,8,3],[9,9,3],[9,10,4],[9,11,4],[8,12,1],[9,12,3],[9,13,2],[10,13,2],[10,14,4],[11,14,4],"
2019/3/1 8:47,"[9,4,2],[10,4,2],[11,4,1],[9,5,3],[10,5,1],[11,5,1],[9,6,3],[8,7,1],[9,7,2],[7,8,1],[9,8,4],[7,9,1],[8,9,1],[9,9,3],[7,10,1],[8,10,1],[9,10,4],[8,11,1],[9,11,4],[8,12,1],[9,12,4],[10,12,1],[9,13,3],[10,13,3],[9,14,1],[10,14,6],[11,14,6],"
2019/3/1 8:48,"[9,4,2],[10,4,2],[9,5,4],[10,5,3],[11,5,1],[9,6,4],[9,7,5],[9,8,3],[9,9,3],[9,10,4],[9,11,4],[9,12,4],[10,12,1],[9,13,2],[10,13,3],[10,14,5],[11,14,3],"
2019/3/1 8:49,"[9,4,1],[10,4,1],[9,5,6],[10,5,3],[11,5,1],[9,6,6],[9,7,5],[8,8,1],[9,8,3],[9,9,3],[9,10,2],[8,11,2],[9,11,1],[8,12,2],[9,12,2],[10,12,1],[10,13,2],[10,14,2],[11,14,3],"
2019/3/1 8:50,"[8,4,1],[9,4,2],[8,5,1],[9,5,3],[10,5,1],[8,6,1],[9,6,3],[9,7,4],[8,8,1],[9,8,4],[8,9,2],[9,9,6],[8,10,1],[9,10,6],[9,11,4],[9,12,3],[8,13,1],[9,13,3],[10,13,3],[9,14,1],[10,14,6],[11,14,5],"
2019/3/1 8:51,"[6,4,1],[6,5,1],[9,5,2],[10,5,1],[6,6,1],[7,6,1],[8,6,1],[9,6,1],[6,7,1],[7,7,1],[8,7,1],[9,7,1],[7,8,3],[9,8,1],[8,9,1],[9,10,1],[9,11,3],[9,12,2],[10,12,2],[9,13,1],[10,13,3],[10,14,4],[11,14,5],"
2019/3/1 8:52,"[8,4,1],[9,5,2],[9,6,2],[9,7,2],[9,8,1],[7,9,1],[9,9,1],[7,10,1],[8,10,1],[9,10,2],[7,11,1],[8,11,1],[9,11,2],[8,12,1],[9,12,3],[10,12,1],[8,13,1],[9,13,1],[10,13,1],[9,14,1],[10,14,3],[11,14,3],"
2019/3/1 8:53,"[9,4,2],[10,4,2],[7,5,1],[9,5,4],[10,5,2],[11,5,1],[7,6,1],[9,6,4],[7,7,1],[8,7,1],[9,7,4],[8,8,2],[9,8,3],[8,9,3],[9,9,2],[9,10,3],[8,11,1],[9,11,2],[7,12,1],[8,12,1],[7,13,1],[9,13,3],[10,13,1],[6,14,1],[9,14,1],[10,14,3],[11,14,4],"
2019/3/1 8:54,"[9,5,2],[10,5,1],[11,5,1],[8,6,1],[9,6,2],[8,7,1],[9,7,2],[8,8,1],[9,8,3],[8,9,1],[9,9,4],[7,10,1],[8,10,1],[9,10,3],[8,11,2],[9,11,4],[8,12,1],[9,12,4],[10,12,2],[9,13,3],[10,13,3],[10,14,6],[11,14,5],"
2019/3/1 8:55,"[9,4,2],[10,4,1],[7,5,1],[9,5,2],[10,5,1],[11,5,1],[7,6,1],[8,6,1],[7,7,2],[8,8,2],[9,9,1],[6,10,1],[9,10,1],[7,11,1],[9,11,1],[8,12,1],[9,12,1],[9,13,1],[10,13,1],[10,14,2],[11,14,4],"
2019/3/1 8:56,"[8,3,1],[9,4,2],[9,5,3],[10,5,1],[11,5,1],[9,6,3],[9,7,3],[9,8,5],[7,9,1],[8,9,1],[9,9,3],[7,10,1],[8,10,1],[9,10,4],[7,11,1],[8,11,1],[9,11,4],[7,12,1],[9,12,4],[10,12,1],[7,13,1],[8,13,1],[9,13,2],[10,13,3],[9,14,1],[10,14,5],[11,14,3],"
2019/3/1 8:57,"[9,4,3],[10,4,2],[9,5,5],[10,5,2],[11,5,1],[9,6,5],[8,7,1],[9,7,3],[8,8,1],[9,8,1],[9,9,4],[7,10,1],[9,10,2],[8,11,1],[9,11,2],[8,12,1],[9,12,4],[8,13,1],[9,13,5],[10,13,1],[8,14,2],[9,14,2],[10,14,9],[11,14,9],"
2019/3/1 8:58,"[9,3,1],[9,4,2],[9,5,4],[10,5,2],[9,6,4],[6,7,1],[8,7,1],[9,7,5],[6,8,1],[7,8,1],[9,8,5],[7,9,2],[9,9,4],[8,10,4],[9,10,4],[8,11,3],[9,11,6],[8,12,1],[9,12,4],[10,12,2],[8,13,1],[9,13,2],[10,13,3],[6,14,1],[7,14,1],[9,14,2],[10,14,4],[11,14,3],"
