,sid,time,total,y,x
561,11308,2019/3/1 7:32,6,8,13.0
567,11309,2019/3/1 7:32,10,9,13.0
577,11310,2019/3/1 7:32,12,10,13.0
589,11311,2019/3/1 7:32,2,11,13.0
591,11312,2019/3/1 7:32,1,12,13.0
592,11313,2019/3/1 7:32,1,13,13.0
593,11314,2019/3/1 7:32,2,14,13.0
595,11315,2019/3/1 7:32,1,15,13.0
596,11316,2019/3/1 7:32,1,16,13.0
597,11402,2019/3/1 7:32,3,2,14.0
600,11403,2019/3/1 7:32,4,3,14.0
604,11404,2019/3/1 7:32,5,4,14.0
609,11405,2019/3/1 7:32,5,5,14.0
614,11406,2019/3/1 7:32,4,6,14.0
618,11407,2019/3/1 7:32,5,7,14.0
623,11408,2019/3/1 7:32,2,8,14.0
625,11409,2019/3/1 7:32,1,9,14.0
626,11410,2019/3/1 7:32,10,10,14.0
636,11411,2019/3/1 7:32,14,11,14.0
650,11412,2019/3/1 7:32,5,12,14.0
655,11413,2019/3/1 7:32,4,13,14.0
659,11414,2019/3/1 7:32,3,14,14.0
662,11415,2019/3/1 7:32,4,15,14.0
666,11416,2019/3/1 7:32,1,16,14.0
667,11417,2019/3/1 7:32,2,17,14.0
669,11418,2019/3/1 7:32,1,18,14.0
670,11419,2019/3/1 7:32,1,19,14.0
671,11502,2019/3/1 7:32,1,2,15.0
672,11504,2019/3/1 7:32,1,4,15.0
673,10110,2019/3/1 7:33,1,10,1.0
674,10111,2019/3/1 7:33,1,11,1.0
675,10210,2019/3/1 7:33,1,10,2.0
676,10309,2019/3/1 7:33,1,9,3.0
677,10409,2019/3/1 7:33,1,9,4.0
678,10509,2019/3/1 7:33,1,9,5.0
679,10609,2019/3/1 7:33,1,9,6.0
680,10618,2019/3/1 7:33,1,18,6.0
681,10717,2019/3/1 7:33,2,17,7.0
683,10718,2019/3/1 7:33,1,18,7.0
684,10817,2019/3/1 7:33,1,17,8.0
685,10818,2019/3/1 7:33,2,18,8.0
687,10916,2019/3/1 7:33,1,16,9.0
688,10918,2019/3/1 7:33,1,18,9.0
689,11017,2019/3/1 7:33,2,17,10.0
691,11116,2019/3/1 7:33,2,16,11.0
693,11202,2019/3/1 7:33,3,2,12.0
696,11203,2019/3/1 7:33,4,3,12.0
700,11204,2019/3/1 7:33,4,4,12.0
704,11205,2019/3/1 7:33,4,5,12.0
708,11206,2019/3/1 7:33,3,6,12.0
711,11207,2019/3/1 7:33,2,7,12.0
713,11208,2019/3/1 7:33,1,8,12.0
714,11216,2019/3/1 7:33,2,16,12.0
716,11305,2019/3/1 7:33,1,5,13.0
717,11308,2019/3/1 7:33,2,8,13.0
719,11309,2019/3/1 7:33,1,9,13.0
720,11310,2019/3/1 7:33,3,10,13.0
723,11315,2019/3/1 7:33,1,15,13.0
724,11316,2019/3/1 7:33,1,16,13.0
725,11402,2019/3/1 7:33,3,2,14.0
728,11403,2019/3/1 7:33,3,3,14.0
731,11404,2019/3/1 7:33,4,4,14.0
735,11405,2019/3/1 7:33,2,5,14.0
737,11406,2019/3/1 7:33,2,6,14.0
739,11407,2019/3/1 7:33,1,7,14.0
740,11408,2019/3/1 7:33,1,8,14.0
741,11409,2019/3/1 7:33,1,9,14.0
742,11410,2019/3/1 7:33,4,10,14.0
746,11411,2019/3/1 7:33,4,11,14.0
750,11417,2019/3/1 7:33,1,17,14.0
751,11418,2019/3/1 7:33,1,18,14.0
752,11419,2019/3/1 7:33,1,19,14.0
753,11420,2019/3/1 7:33,2,20,14.0
755,11502,2019/3/1 7:33,1,2,15.0
756,11504,2019/3/1 7:33,1,4,15.0
757,11519,2019/3/1 7:33,1,19,15.0
758,11520,2019/3/1 7:33,2,20,15.0
760,10119,2019/3/1 7:34,2,19,1.0
762,10218,2019/3/1 7:34,2,18,2.0
764,10219,2019/3/1 7:34,2,19,2.0
766,10318,2019/3/1 7:34,2,18,3.0
768,10418,2019/3/1 7:34,2,18,4.0
770,10518,2019/3/1 7:34,2,18,5.0
772,10618,2019/3/1 7:34,1,18,6.0
773,11203,2019/3/1 7:34,1,3,12.0
774,11204,2019/3/1 7:34,1,4,12.0
775,11205,2019/3/1 7:34,1,5,12.0
776,11206,2019/3/1 7:34,1,6,12.0
777,11207,2019/3/1 7:34,1,7,12.0
778,11208,2019/3/1 7:34,2,8,12.0
780,11209,2019/3/1 7:34,1,9,12.0
781,11306,2019/3/1 7:34,1,6,13.0
782,11307,2019/3/1 7:34,2,7,13.0
784,11308,2019/3/1 7:34,1,8,13.0
785,11309,2019/3/1 7:34,2,9,13.0
787,11310,2019/3/1 7:34,3,10,13.0
790,11311,2019/3/1 7:34,1,11,13.0
791,11405,2019/3/1 7:34,1,5,14.0
792,11406,2019/3/1 7:34,1,6,14.0
793,11410,2019/3/1 7:34,3,10,14.0
796,11411,2019/3/1 7:34,3,11,14.0
799,11412,2019/3/1 7:34,1,12,14.0
800,11413,2019/3/1 7:34,1,13,14.0
801,11414,2019/3/1 7:34,1,14,14.0
802,11415,2019/3/1 7:34,1,15,14.0
803,11416,2019/3/1 7:34,1,16,14.0
804,11417,2019/3/1 7:34,1,17,14.0
805,11205,2019/3/1 7:35,1,5,12.0
806,11206,2019/3/1 7:35,1,6,12.0
807,11207,2019/3/1 7:35,1,7,12.0
808,11208,2019/3/1 7:35,1,8,12.0
809,11300,2019/3/1 7:35,1,0,13.0
810,11301,2019/3/1 7:35,1,1,13.0
811,11302,2019/3/1 7:35,1,2,13.0
812,11305,2019/3/1 7:35,1,5,13.0
813,11308,2019/3/1 7:35,1,8,13.0
814,11309,2019/3/1 7:35,2,9,13.0
816,11310,2019/3/1 7:35,3,10,13.0
819,11318,2019/3/1 7:35,1,18,13.0
820,11403,2019/3/1 7:35,1,3,14.0
821,11404,2019/3/1 7:35,1,4,14.0
822,11406,2019/3/1 7:35,1,6,14.0
823,11407,2019/3/1 7:35,1,7,14.0
824,11410,2019/3/1 7:35,4,10,14.0
828,11411,2019/3/1 7:35,3,11,14.0
831,11418,2019/3/1 7:35,1,18,14.0
832,11419,2019/3/1 7:35,1,19,14.0
833,11420,2019/3/1 7:35,1,20,14.0
834,11519,2019/3/1 7:35,1,19,15.0
835,11520,2019/3/1 7:35,1,20,15.0
836,11203,2019/3/1 7:36,2,3,12.0
838,11204,2019/3/1 7:36,2,4,12.0
840,11205,2019/3/1 7:36,2,5,12.0
842,11206,2019/3/1 7:36,2,6,12.0
844,11207,2019/3/1 7:36,2,7,12.0
846,11208,2019/3/1 7:36,2,8,12.0
848,11209,2019/3/1 7:36,2,9,12.0
850,11210,2019/3/1 7:36,1,10,12.0
851,11306,2019/3/1 7:36,1,6,13.0
852,11307,2019/3/1 7:36,1,7,13.0
853,11308,2019/3/1 7:36,1,8,13.0
854,11309,2019/3/1 7:36,1,9,13.0
855,11310,2019/3/1 7:36,3,10,13.0
858,11311,2019/3/1 7:36,1,11,13.0
859,11404,2019/3/1 7:36,1,4,14.0
860,11405,2019/3/1 7:36,2,5,14.0
862,11408,2019/3/1 7:36,1,8,14.0
863,11409,2019/3/1 7:36,1,9,14.0
864,11410,2019/3/1 7:36,3,10,14.0
867,11411,2019/3/1 7:36,4,11,14.0
871,11504,2019/3/1 7:36,1,4,15.0
872,11107,2019/3/1 7:37,1,7,11.0
873,11108,2019/3/1 7:37,1,8,11.0
874,11109,2019/3/1 7:37,1,9,11.0
875,11205,2019/3/1 7:37,1,5,12.0
876,11206,2019/3/1 7:37,1,6,12.0
877,11208,2019/3/1 7:37,1,8,12.0
878,11210,2019/3/1 7:37,1,10,12.0
879,11211,2019/3/1 7:37,1,11,12.0
880,11305,2019/3/1 7:37,1,5,13.0
881,11306,2019/3/1 7:37,1,6,13.0
882,11307,2019/3/1 7:37,1,7,13.0
883,11309,2019/3/1 7:37,1,9,13.0
884,11310,2019/3/1 7:37,1,10,13.0
885,11407,2019/3/1 7:37,1,7,14.0
886,11410,2019/3/1 7:37,3,10,14.0
889,11411,2019/3/1 7:37,1,11,14.0
890,11204,2019/3/1 7:38,1,4,12.0
891,11205,2019/3/1 7:38,1,5,12.0
892,11206,2019/3/1 7:38,1,6,12.0
893,11208,2019/3/1 7:38,1,8,12.0
894,11209,2019/3/1 7:38,1,9,12.0
895,11307,2019/3/1 7:38,1,7,13.0
896,11310,2019/3/1 7:38,1,10,13.0
897,11411,2019/3/1 7:38,2,11,14.0
899,11412,2019/3/1 7:38,1,12,14.0
900,11413,2019/3/1 7:38,1,13,14.0
901,11414,2019/3/1 7:38,1,14,14.0
902,11415,2019/3/1 7:38,1,15,14.0
903,11202,2019/3/1 7:39,1,2,12.0
904,11203,2019/3/1 7:39,1,3,12.0
905,11410,2019/3/1 7:40,1,10,14.0
906,11411,2019/3/1 7:40,1,11,14.0
907,11412,2019/3/1 7:40,1,12,14.0
908,11413,2019/3/1 7:40,1,13,14.0
909,11319,2019/3/1 7:41,1,19,13.0
910,11414,2019/3/1 7:41,1,14,14.0
911,11415,2019/3/1 7:41,1,15,14.0
912,11416,2019/3/1 7:41,1,16,14.0
913,11417,2019/3/1 7:41,1,17,14.0
914,11418,2019/3/1 7:41,1,18,14.0
915,11420,2019/3/1 7:41,1,20,14.0
916,11520,2019/3/1 7:41,1,20,15.0
917,11306,2019/3/1 7:42,1,6,13.0
918,11402,2019/3/1 7:42,1,2,14.0
919,11403,2019/3/1 7:42,1,3,14.0
920,11404,2019/3/1 7:42,1,4,14.0
921,11405,2019/3/1 7:42,1,5,14.0
922,11502,2019/3/1 7:42,1,2,15.0
923,11519,2019/3/1 7:42,1,19,15.0
924,11307,2019/3/1 7:43,1,7,13.0
925,11308,2019/3/1 7:43,1,8,13.0
926,11309,2019/3/1 7:43,1,9,13.0
927,11310,2019/3/1 7:43,1,10,13.0
928,11402,2019/3/1 7:43,1,2,14.0
929,11403,2019/3/1 7:43,1,3,14.0
930,11410,2019/3/1 7:43,1,10,14.0
931,11411,2019/3/1 7:43,1,11,14.0
932,11502,2019/3/1 7:43,1,2,15.0
933,11208,2019/3/1 7:44,1,8,12.0
934,11209,2019/3/1 7:44,1,9,12.0
935,11305,2019/3/1 7:44,1,5,13.0
936,11307,2019/3/1 7:44,1,7,13.0
937,11309,2019/3/1 7:44,1,9,13.0
938,11310,2019/3/1 7:44,1,10,13.0
939,11404,2019/3/1 7:44,1,4,14.0
940,11406,2019/3/1 7:44,1,6,14.0
941,11411,2019/3/1 7:44,1,11,14.0
942,11410,2019/3/1 7:45,1,10,14.0
943,11308,2019/3/1 7:46,1,8,13.0
944,11407,2019/3/1 7:46,1,7,14.0
945,11507,2019/3/1 7:46,1,7,15.0
946,11011,2019/3/1 7:47,1,11,10.0
947,11109,2019/3/1 7:47,1,9,11.0
948,11110,2019/3/1 7:47,1,10,11.0
949,11208,2019/3/1 7:47,1,8,12.0
950,11214,2019/3/1 7:51,1,14,12.0
951,11312,2019/3/1 7:51,1,12,13.0
952,11313,2019/3/1 7:51,2,13,13.0
954,11314,2019/3/1 7:51,2,14,13.0
956,11315,2019/3/1 7:51,2,15,13.0
958,11410,2019/3/1 7:51,4,10,14.0
962,11411,2019/3/1 7:51,4,11,14.0
966,11412,2019/3/1 7:51,2,12,14.0
968,11413,2019/3/1 7:51,1,13,14.0
969,10815,2019/3/1 7:52,1,15,8.0
970,10818,2019/3/1 7:52,1,18,8.0
971,10915,2019/3/1 7:52,1,15,9.0
972,10918,2019/3/1 7:52,1,18,9.0
973,11015,2019/3/1 7:52,1,15,10.0
974,11017,2019/3/1 7:52,1,17,10.0
975,11116,2019/3/1 7:52,4,16,11.0
979,11117,2019/3/1 7:52,2,17,11.0
981,11118,2019/3/1 7:52,2,18,11.0
983,11216,2019/3/1 7:52,5,16,12.0
988,11305,2019/3/1 7:52,1,5,13.0
989,11306,2019/3/1 7:52,1,6,13.0
990,11307,2019/3/1 7:52,1,7,13.0
991,11311,2019/3/1 7:52,1,11,13.0
992,11312,2019/3/1 7:52,1,12,13.0
993,11313,2019/3/1 7:52,3,13,13.0
996,11314,2019/3/1 7:52,2,14,13.0
998,11315,2019/3/1 7:52,4,15,13.0
1002,11402,2019/3/1 7:52,1,2,14.0
1003,11403,2019/3/1 7:52,1,3,14.0
1004,11404,2019/3/1 7:52,1,4,14.0
