time,xy
2019/3/1 7:34,"[19,1,2],[18,2,2],[19,2,2],[18,3,2],[18,4,2],[18,5,2],[18,6,1],[3,12,1],[4,12,1],[5,12,1],[6,12,1],[7,12,1],[8,12,2],[9,12,1],[6,13,1],[7,13,2],[8,13,1],[9,13,2],[10,13,3],[11,13,1],[5,14,1],[6,14,1],[10,14,3],[11,14,3],[12,14,1],[13,14,1],[14,14,1],[15,14,1],[16,14,1],[17,14,1],"
2019/3/1 7:35,"[5,12,1],[6,12,1],[7,12,1],[8,12,1],[0,13,1],[1,13,1],[2,13,1],[5,13,1],[8,13,1],[9,13,2],[10,13,3],[18,13,1],[3,14,1],[4,14,1],[6,14,1],[7,14,1],[10,14,4],[11,14,3],[18,14,1],[19,14,1],[20,14,1],[19,15,1],[20,15,1],"
2019/3/1 7:36,"[3,12,2],[4,12,2],[5,12,2],[6,12,2],[7,12,2],[8,12,2],[9,12,2],[10,12,1],[6,13,1],[7,13,1],[8,13,1],[9,13,1],[10,13,3],[11,13,1],[4,14,1],[5,14,2],[8,14,1],[9,14,1],[10,14,3],[11,14,4],[4,15,1],"
2019/3/1 7:37,"[7,11,1],[8,11,1],[9,11,1],[5,12,1],[6,12,1],[8,12,1],[10,12,1],[11,12,1],[5,13,1],[6,13,1],[7,13,1],[9,13,1],[10,13,1],[7,14,1],[10,14,3],[11,14,1],"
2019/3/1 7:38,"[4,12,1],[5,12,1],[6,12,1],[8,12,1],[9,12,1],[7,13,1],[10,13,1],[11,14,2],[12,14,1],[13,14,1],[14,14,1],[15,14,1],"
2019/3/1 7:39,"[2,12,1],[3,12,1],"
2019/3/1 7:40,"[10,14,1],[11,14,1],[12,14,1],[13,14,1],"
2019/3/1 7:41,"[19,13,1],[14,14,1],[15,14,1],[16,14,1],[17,14,1],[18,14,1],[20,14,1],[20,15,1],"
2019/3/1 7:42,"[6,13,1],[2,14,1],[3,14,1],[4,14,1],[5,14,1],[2,15,1],[19,15,1],"
2019/3/1 7:43,"[7,13,1],[8,13,1],[9,13,1],[10,13,1],[2,14,1],[3,14,1],[10,14,1],[11,14,1],[2,15,1],"
2019/3/1 7:44,"[8,12,1],[9,12,1],[5,13,1],[7,13,1],[9,13,1],[10,13,1],[4,14,1],[6,14,1],[11,14,1],"
2019/3/1 7:45,"[10,14,1],"
2019/3/1 7:46,"[8,13,1],[7,14,1],[7,15,1],"
2019/3/1 7:47,"[11,10,1],[9,11,1],[10,11,1],[8,12,1],"
2019/3/1 7:51,"[14,12,1],[12,13,1],[13,13,2],[14,13,2],[15,13,2],[10,14,4],[11,14,4],[12,14,2],[13,14,1],"
2019/3/1 7:52,"[15,8,1],[18,8,1],[15,9,1],[18,9,1],[15,10,1],[17,10,1],[16,11,4],[17,11,2],[18,11,2],[16,12,5],[5,13,1],[6,13,1],[7,13,1],[11,13,1],[12,13,1],[13,13,3],[14,13,2],[15,13,4],[2,14,1],[3,14,1],[4,14,1],[10,14,2],[11,14,2],[12,14,2],[14,14,1],[2,15,1],"
2019/3/1 7:53,"[15,5,1],[18,5,1],[15,6,1],[18,6,1],[15,7,1],[18,7,1],[15,8,1],[18,8,1],[15,9,1],[18,9,1],[15,10,1],[18,10,1],[15,11,1],[16,11,2],[16,12,1],[8,13,1],[9,13,1],[10,13,1],[11,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:59,"[0,13,9],[1,13,9],[2,13,7],[3,13,1],[4,13,4],[5,13,1],[1,14,1],[2,14,15],[3,14,10],[4,14,8],[7,14,1],[2,15,13],[4,15,8],[7,15,1],"
2019/3/1 8:00,"[8,11,1],[9,11,5],[10,11,4],[8,12,2],[9,12,3],[0,13,11],[1,13,11],[2,13,11],[3,13,10],[4,13,11],[5,13,12],[7,13,2],[8,13,2],[9,13,1],[1,14,1],[2,14,20],[3,14,20],[4,14,23],[7,14,4],[8,14,1],[9,14,1],[2,15,12],[4,15,11],[7,15,4],"
2019/3/1 8:01,"[10,10,1],[9,11,3],[10,11,4],[11,11,2],[8,12,2],[9,12,2],[0,13,15],[1,13,12],[2,13,8],[3,13,11],[4,13,7],[5,13,11],[7,13,4],[8,13,3],[1,14,1],[2,14,25],[3,14,13],[4,14,18],[7,14,6],[2,15,14],[4,15,12],[7,15,6],"
2019/3/1 8:02,"[10,10,3],[11,10,2],[9,11,4],[10,11,4],[8,12,1],[9,12,2],[0,13,7],[1,13,10],[2,13,14],[3,13,11],[4,13,10],[5,13,11],[6,13,2],[7,13,1],[8,13,2],[9,13,1],[2,14,21],[3,14,20],[4,14,24],[5,14,3],[7,14,2],[2,15,17],[4,15,20],[7,15,2],"
2019/3/1 8:03,"[9,8,1],[9,9,1],[8,10,1],[10,10,2],[11,10,1],[7,11,1],[9,11,6],[10,11,6],[11,11,1],[6,12,2],[8,12,4],[9,12,2],[15,12,1],[0,13,8],[1,13,8],[2,13,13],[3,13,13],[4,13,5],[5,13,13],[6,13,2],[7,13,4],[8,13,7],[9,13,4],[10,13,5],[11,13,3],[12,13,3],[13,13,3],[14,13,2],[15,13,1],[16,13,1],[17,13,1],[1,14,1],[2,14,29],[3,14,21],[4,14,29],[5,14,3],[6,14,4],[7,14,9],[8,14,3],[9,14,1],[2,15,20],[4,15,10],[7,15,6],"
2019/3/1 8:04,"[9,5,3],[10,5,3],[8,6,1],[9,6,2],[7,7,1],[8,7,1],[9,7,3],[16,7,1],[7,8,2],[8,8,1],[9,8,2],[15,8,1],[6,9,2],[7,9,1],[9,9,2],[15,9,1],[6,10,3],[7,10,2],[8,10,1],[9,10,1],[11,10,3],[15,10,1],[17,10,1],[18,10,1],[6,11,5],[7,11,1],[8,11,2],[9,11,2],[10,11,2],[16,11,2],[6,12,7],[7,12,3],[8,12,2],[16,12,2],[0,13,9],[1,13,9],[2,13,5],[3,13,11],[4,13,15],[5,13,12],[6,13,3],[7,13,6],[8,13,3],[9,13,1],[10,13,1],[11,13,2],[12,13,2],[13,13,2],[14,13,3],[15,13,3],[16,13,2],[17,13,1],[18,13,2],[19,13,3],[20,13,3],[21,13,3],[22,13,2],[23,13,1],[1,14,1],[2,14,23],[3,14,24],[4,14,25],[5,14,5],[6,14,2],[7,14,4],[10,14,1],[11,14,1],[2,15,16],[4,15,11],[7,15,4],"
2019/3/1 8:05,"[6,2,1],[15,2,1],[6,3,1],[15,3,2],[6,4,1],[9,4,2],[10,4,1],[15,4,2],[6,5,1],[9,5,5],[10,5,4],[11,5,2],[15,5,2],[6,6,1],[8,6,1],[9,6,4],[15,6,2],[18,6,1],[6,7,1],[7,7,1],[9,7,3],[15,7,1],[18,7,1],[7,8,1],[9,8,4],[15,8,1],[18,8,1],[7,9,1],[8,9,1],[9,9,5],[15,9,1],[18,9,1],[6,10,2],[7,10,1],[8,10,6],[10,10,1],[15,10,1],[6,11,5],[7,11,5],[8,11,2],[9,11,4],[10,11,3],[11,11,1],[16,11,1],[17,11,1],[18,11,1],[6,12,8],[7,12,2],[8,12,3],[9,12,1],[10,12,1],[16,12,1],[17,12,1],[0,13,15],[1,13,15],[2,13,11],[3,13,8],[4,13,18],[5,13,14],[6,13,8],[7,13,10],[8,13,10],[9,13,6],[10,13,5],[11,13,1],[18,13,1],[24,13,1],[25,13,1],[26,13,1],[27,13,1],[2,14,25],[3,14,25],[4,14,22],[5,14,8],[6,14,3],[7,14,3],[8,14,1],[9,14,1],[10,14,3],[11,14,3],[27,14,1],[2,15,15],[4,15,10],[7,15,3],"
2019/3/1 8:06,"[9,2,1],[15,2,1],[16,2,1],[9,3,1],[15,3,1],[17,3,1],[9,4,5],[10,4,3],[11,4,1],[16,4,1],[9,5,11],[10,5,2],[11,5,3],[7,6,1],[8,6,4],[9,6,9],[7,7,3],[9,7,8],[6,8,3],[7,8,1],[8,8,1],[9,8,5],[16,8,1],[6,9,4],[7,9,2],[9,9,4],[15,9,1],[6,10,7],[8,10,3],[9,10,1],[10,10,2],[11,10,1],[15,10,1],[6,11,10],[7,11,3],[8,11,1],[9,11,6],[10,11,6],[11,11,1],[16,11,2],[6,12,13],[7,12,1],[8,12,6],[9,12,2],[10,12,1],[12,12,1],[13,12,1],[16,12,3],[0,13,14],[1,13,14],[2,13,13],[3,13,7],[4,13,14],[5,13,26],[6,13,16],[7,13,17],[8,13,17],[9,13,15],[10,13,16],[11,13,11],[12,13,9],[13,13,6],[14,13,7],[15,13,5],[16,13,2],[17,13,1],[18,13,1],[1,14,2],[2,14,31],[3,14,35],[4,14,43],[5,14,18],[6,14,12],[7,14,15],[8,14,5],[9,14,3],[10,14,3],[11,14,3],[13,14,2],[14,14,1],[15,14,1],[2,15,21],[4,15,14],[7,15,7],"
2019/3/1 8:07,"[9,4,6],[10,4,6],[11,4,3],[15,4,1],[18,4,1],[8,5,2],[9,5,14],[10,5,7],[11,5,1],[16,5,1],[18,5,1],[7,6,2],[8,6,6],[9,6,9],[15,6,1],[18,6,1],[6,7,2],[7,7,5],[8,7,2],[9,7,10],[15,7,4],[16,7,1],[17,7,1],[6,8,4],[7,8,5],[8,8,5],[9,8,8],[15,8,7],[18,8,1],[6,9,9],[7,9,4],[8,9,1],[9,9,8],[15,9,6],[18,9,1],[6,10,12],[7,10,2],[8,10,6],[9,10,5],[10,10,2],[11,10,1],[15,10,7],[17,10,1],[18,10,1],[6,11,9],[7,11,8],[8,11,2],[9,11,9],[10,11,4],[16,11,9],[17,11,2],[18,11,1],[6,12,24],[7,12,6],[8,12,8],[9,12,5],[10,12,4],[11,12,1],[12,12,2],[13,12,1],[14,12,2],[15,12,1],[16,12,11],[18,12,1],[19,12,1],[0,13,11],[1,13,11],[2,13,11],[3,13,12],[4,13,14],[5,13,25],[6,13,22],[7,13,15],[8,13,17],[9,13,15],[10,13,17],[11,13,17],[12,13,14],[13,13,15],[14,13,10],[15,13,15],[16,13,4],[17,13,2],[18,13,2],[19,13,1],[20,13,1],[21,13,1],[22,13,1],[23,13,1],[24,13,1],[25,13,1],[26,13,1],[1,14,1],[2,14,25],[3,14,25],[4,14,45],[5,14,15],[6,14,3],[7,14,5],[8,14,3],[9,14,1],[10,14,4],[11,14,7],[12,14,4],[13,14,4],[14,14,3],[2,15,24],[4,15,10],[7,15,4],"
2019/3/1 8:08,"[9,2,1],[15,2,1],[17,2,1],[8,3,1],[9,3,1],[15,3,2],[16,3,2],[18,3,1],[9,4,8],[10,4,6],[11,4,4],[15,4,2],[16,4,1],[17,4,1],[18,4,1],[9,5,26],[10,5,20],[11,5,7],[15,5,3],[16,5,1],[17,5,1],[8,6,6],[9,6,21],[15,6,3],[16,6,1],[18,6,1],[6,7,2],[7,7,3],[8,7,3],[9,7,18],[15,7,5],[16,7,2],[17,7,1],[18,7,1],[6,8,3],[7,8,4],[8,8,9],[9,8,11],[15,8,9],[17,8,2],[18,8,2],[6,9,10],[7,9,6],[8,9,1],[9,9,11],[15,9,8],[18,9,6],[6,10,14],[7,10,2],[8,10,7],[9,10,6],[11,10,2],[15,10,7],[16,10,1],[17,10,3],[18,10,3],[6,11,18],[7,11,7],[8,11,4],[9,11,9],[10,11,6],[11,11,1],[15,11,3],[16,11,15],[17,11,5],[18,11,2],[6,12,20],[7,12,8],[8,12,6],[9,12,9],[10,12,5],[11,12,2],[12,12,3],[13,12,3],[14,12,2],[15,12,1],[16,12,12],[17,12,1],[18,12,1],[20,12,1],[0,13,17],[1,13,17],[2,13,14],[3,13,12],[4,13,13],[5,13,34],[6,13,19],[7,13,18],[8,13,19],[9,13,18],[10,13,18],[11,13,14],[12,13,10],[13,13,12],[14,13,13],[15,13,13],[16,13,4],[17,13,4],[18,13,2],[19,13,3],[20,13,2],[21,13,3],[22,13,2],[23,13,2],[24,13,2],[25,13,2],[26,13,2],[27,13,3],[1,14,3],[2,14,30],[3,14,32],[4,14,43],[5,14,19],[6,14,7],[7,14,9],[8,14,4],[9,14,2],[10,14,5],[11,14,5],[12,14,2],[27,14,2],[2,15,16],[4,15,13],[7,15,5],[27,15,1],"
2019/3/1 8:09,"[7,2,1],[8,2,3],[15,2,1],[17,2,1],[6,3,1],[7,3,2],[8,3,3],[9,3,1],[15,3,3],[16,3,2],[17,3,3],[6,4,1],[7,4,1],[8,4,1],[9,4,10],[10,4,6],[11,4,3],[15,4,3],[16,4,4],[17,4,1],[6,5,3],[7,5,4],[8,5,4],[9,5,24],[10,5,12],[11,5,2],[15,5,4],[16,5,2],[17,5,3],[6,6,4],[7,6,3],[8,6,2],[9,6,19],[15,6,7],[17,6,2],[6,7,5],[7,7,1],[8,7,2],[9,7,19],[15,7,5],[16,7,2],[17,7,2],[18,7,1],[6,8,4],[7,8,4],[8,8,4],[9,8,15],[15,8,3],[16,8,2],[17,8,1],[18,8,3],[6,9,6],[7,9,6],[8,9,2],[9,9,13],[15,9,7],[16,9,1],[17,9,2],[18,9,1],[6,10,8],[7,10,8],[8,10,4],[9,10,8],[11,10,1],[15,10,6],[16,10,1],[17,10,3],[18,10,2],[6,11,13],[7,11,4],[9,11,11],[10,11,5],[15,11,1],[16,11,16],[17,11,4],[18,11,1],[6,12,20],[7,12,3],[8,12,5],[9,12,7],[10,12,4],[11,12,4],[12,12,3],[13,12,1],[14,12,2],[15,12,1],[16,12,18],[17,12,2],[20,12,1],[21,12,1],[22,12,1],[0,13,5],[1,13,5],[2,13,15],[3,13,13],[4,13,13],[5,13,34],[6,13,11],[7,13,13],[8,13,18],[9,13,13],[10,13,19],[11,13,15],[12,13,16],[13,13,18],[14,13,17],[15,13,23],[16,13,8],[17,13,4],[18,13,3],[19,13,3],[20,13,3],[21,13,2],[22,13,3],[23,13,4],[24,13,3],[25,13,3],[26,13,3],[27,13,3],[28,13,1],[1,14,1],[2,14,28],[3,14,31],[4,14,60],[5,14,11],[6,14,10],[7,14,15],[8,14,3],[9,14,2],[10,14,3],[11,14,6],[12,14,1],[13,14,1],[14,14,4],[18,14,1],[19,14,1],[27,14,2],[28,14,1],[2,15,22],[4,15,21],[7,15,8],[27,15,1],"
2019/3/1 8:10,"[8,3,1],[9,3,1],[15,3,1],[16,3,1],[18,3,1],[9,4,11],[10,4,6],[11,4,4],[15,4,1],[17,4,2],[18,4,1],[8,5,2],[9,5,20],[10,5,2],[11,5,1],[16,5,1],[17,5,1],[18,5,1],[6,6,2],[7,6,1],[8,6,4],[9,6,21],[16,6,1],[17,6,1],[18,6,2],[6,7,3],[7,7,4],[8,7,2],[9,7,22],[15,7,2],[16,7,1],[17,7,1],[18,7,4],[6,8,3],[7,8,5],[8,8,6],[9,8,16],[15,8,6],[17,8,2],[18,8,3],[6,9,10],[7,9,1],[8,9,5],[9,9,12],[15,9,4],[16,9,1],[17,9,1],[18,9,6],[6,10,14],[7,10,2],[8,10,6],[9,10,10],[10,10,3],[11,10,1],[15,10,4],[16,10,3],[17,10,7],[18,10,2],[6,11,15],[7,11,5],[8,11,4],[9,11,18],[10,11,8],[11,11,2],[15,11,3],[16,11,17],[17,11,5],[6,12,19],[7,12,5],[8,12,3],[9,12,9],[10,12,6],[11,12,3],[12,12,3],[13,12,3],[14,12,2],[15,12,1],[16,12,12],[17,12,2],[21,12,1],[0,13,9],[1,13,9],[2,13,12],[3,13,12],[4,13,8],[5,13,37],[6,13,17],[7,13,17],[8,13,20],[9,13,18],[10,13,22],[11,13,15],[12,13,10],[13,13,8],[14,13,8],[15,13,10],[16,13,2],[17,13,2],[18,13,5],[19,13,5],[20,13,3],[21,13,3],[22,13,2],[23,13,2],[24,13,3],[25,13,3],[26,13,3],[27,13,2],[1,14,1],[2,14,22],[3,14,20],[4,14,45],[5,14,13],[6,14,8],[7,14,10],[8,14,5],[9,14,2],[10,14,10],[11,14,12],[12,14,4],[13,14,1],[14,14,2],[15,14,2],[16,14,2],[20,14,1],[25,14,1],[27,14,1],[2,15,16],[4,15,17],[7,15,5],[25,15,1],[28,15,1],"
2019/3/1 8:11,"[6,2,2],[6,3,2],[8,3,1],[16,3,1],[6,4,2],[7,4,1],[9,4,10],[10,4,12],[11,4,2],[17,4,2],[18,4,2],[6,5,4],[8,5,1],[9,5,25],[10,5,8],[11,5,2],[15,5,1],[16,5,2],[18,5,3],[6,6,4],[7,6,1],[8,6,5],[9,6,15],[15,6,4],[16,6,2],[17,6,2],[18,6,3],[6,7,4],[7,7,5],[8,7,6],[9,7,13],[15,7,6],[16,7,3],[17,7,2],[18,7,1],[6,8,7],[7,8,3],[8,8,4],[9,8,10],[15,8,5],[16,8,1],[18,8,3],[6,9,8],[7,9,3],[8,9,3],[9,9,9],[15,9,8],[16,9,1],[17,9,1],[18,9,3],[6,10,10],[7,10,4],[8,10,8],[9,10,10],[10,10,3],[11,10,2],[15,10,9],[16,10,2],[17,10,6],[6,11,15],[7,11,8],[8,11,2],[9,11,13],[10,11,5],[15,11,4],[16,11,21],[17,11,5],[18,11,1],[6,12,22],[7,12,7],[8,12,2],[9,12,5],[10,12,12],[11,12,7],[12,12,9],[13,12,6],[14,12,3],[15,12,1],[16,12,22],[17,12,2],[19,12,1],[20,12,1],[21,12,1],[22,12,1],[23,12,1],[24,12,1],[0,13,14],[1,13,14],[2,13,8],[3,13,9],[4,13,11],[5,13,34],[6,13,20],[7,13,20],[8,13,20],[9,13,17],[10,13,19],[11,13,25],[12,13,22],[13,13,25],[14,13,23],[15,13,23],[16,13,4],[17,13,1],[18,13,1],[19,13,1],[20,13,1],[21,13,1],[22,13,2],[23,13,2],[24,13,2],[25,13,2],[26,13,2],[27,13,4],[1,14,1],[2,14,28],[3,14,35],[4,14,49],[5,14,17],[6,14,6],[7,14,11],[8,14,5],[9,14,2],[10,14,3],[11,14,2],[13,14,1],[14,14,2],[15,14,2],[16,14,1],[17,14,1],[27,14,3],[2,15,25],[4,15,11],[7,15,7],[27,15,1],"
2019/3/1 8:12,"[6,2,1],[6,3,2],[7,3,1],[15,3,1],[16,3,1],[18,3,1],[6,4,2],[7,4,1],[9,4,12],[10,4,9],[11,4,3],[15,4,1],[16,4,3],[17,4,2],[6,5,3],[9,5,30],[10,5,13],[11,5,7],[15,5,2],[16,5,4],[18,5,1],[6,6,1],[8,6,6],[9,6,30],[15,6,5],[16,6,3],[17,6,3],[18,6,4],[6,7,3],[7,7,2],[8,7,4],[9,7,33],[15,7,10],[16,7,1],[18,7,4],[6,8,3],[7,8,5],[8,8,7],[9,8,25],[15,8,14],[16,8,2],[17,8,4],[18,8,4],[6,9,8],[7,9,5],[8,9,1],[9,9,24],[15,9,12],[16,9,3],[17,9,3],[18,9,9],[6,10,11],[7,10,3],[8,10,8],[9,10,13],[10,10,2],[11,10,1],[15,10,11],[16,10,2],[17,10,9],[18,10,6],[6,11,17],[7,11,9],[8,11,4],[9,11,18],[10,11,5],[11,11,4],[15,11,4],[16,11,25],[17,11,6],[18,11,2],[6,12,28],[7,12,7],[8,12,9],[9,12,7],[10,12,11],[11,12,4],[12,12,3],[13,12,3],[14,12,2],[16,12,22],[17,12,1],[18,12,1],[21,12,1],[23,12,1],[0,13,12],[1,13,12],[2,13,14],[3,13,15],[4,13,10],[5,13,30],[6,13,19],[7,13,16],[8,13,14],[9,13,13],[10,13,21],[11,13,15],[12,13,15],[13,13,17],[14,13,19],[15,13,23],[16,13,4],[17,13,6],[18,13,4],[19,13,6],[20,13,5],[21,13,3],[22,13,4],[23,13,4],[24,13,5],[25,13,4],[26,13,2],[27,13,2],[28,13,1],[1,14,1],[2,14,32],[3,14,23],[4,14,30],[5,14,11],[6,14,8],[7,14,11],[8,14,7],[9,14,3],[10,14,5],[11,14,9],[12,14,2],[13,14,3],[14,14,5],[15,14,3],[16,14,2],[17,14,1],[18,14,1],[27,14,1],[28,14,1],[2,15,18],[4,15,5],[7,15,5],"
